,Q,A,E,U
119,분산 분석(ANOVA)은 무슨 뜻인가요?,분산 분석은 두 개 이상의 집단의 평균이 서로 다른지 평가하는 데 사용되는 통계적 방법입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.chisquare.html
"
120,카이제곱 검정은 무엇을 위해 사용되나요?,카이제곱 검정은 두 개의 범주형 변수 간의 연관성을 평가하는 데 사용되는 통계적 검정입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pearsonr.html
"
121,상관 관계 계수를 사용해서 무엇을 알 수 있나요?,상관 관계 계수는 두 개의 변수 간의 선형적 연관성의 강도와 방향을 나타냅니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.spearmanr.html
"
122,스피어만 상관 관계 계수는 무엇을 위해 사용되나요?,스피어만 상관 관계 계수는 두 개의 순위형 변수 간의 연관성을 평가하는 데 사용되는 상관 관계 계수입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.wilcoxon.html
"
123,윌콕슨 검정은 무슨 뜻인가요?,윌콕슨 검정은 두 개의 독립된 집단의 중앙값이 서로 다른지 평가하는 데 사용되는 통계적 검정입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.friedmanchisquare.html
"
124,프리드만 검정은 무엇을 위해 사용되나요?,프리드만 검정은 세 개 이상의 종속된 집단의 평균이 서로 다른지 평가하는 데 사용되는 통계적 검정입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.kendalltau.html
"
125,가설 검정에 어떤 종류가 있나요?,주로 두 가지 유형이 있습니다. 귀무 가설을 검증하는 가설 검정과 평균 또는 비율을 비교하는 검정입니다.,"stats.ttest_1samp(샘플 데이터, 평균)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_1samp.html
"
126,귀무 가설과 대립 가설의 차이점은 무엇인가요?,"귀무 가설은 일반적으로 상태를 나타내는 진술이고, 대립 가설은 반대를 증명하고자 하는 것입니다.", ...,"...
"
127,유의 수준이란 무엇인가요?,귀무 가설이 실제로 거짓일 때 정해진 임계값입니다., ...,"...
"
128,p값이란 무엇인가요?,귀무 가설이 유의 수준보다 작을 확률입니다., ...,"...
"
129,가설 검정에서 Type I 및 Type II 오류란 무엇인가요?,"Type I 오류는 귀무 가설이 실제로 참인 경우 거짓으로 기각하는 것이고, Type II 오류는 귀무 가설이 거짓인 경우 참으로 받아들이는 것입니다.", ...,"...
"
130,가설 검정에서 검정력이란 무엇인가요?,귀무 가설이 거짓일 때 올바르게 기각할 확률입니다., ...,"...
"
131,T 검정과 Z 검정의 차이점은 무엇인가요?,"T 검정은 샘플 크기가 작거나 모집단 표준 편차가 알려지지 않은 경우에 사용되고, Z 검정은 샘플 크기가 크고 모집단 표준 편차가 알려진 경우에 사용됩니다.", ...,"...
"
132,분산 분석(ANOVA)이란 무엇인가요?,두 개 이상의 집단 간의 평균을 비교하는 통계적 기법입니다., ...,"...
"
133,카이제곱 검정이란 무엇인가요?,두 개 또는 두 개 이상의 범주형 변수 간의 독립성을 검정하는 통계적 기법입니다., ...,"...
"
134,파이썬에서 선형 회귀 모델을 만드는 방법 알려주세요.,scikit-learn의 LinearRegression 클래스를 이용하면 선형 회귀 모델을 손쉽게 구현할 수 있습니다.,"""from sklearn.linear_model import LinearRegression""와 같은 임포트 구문을 추가하고 객체를 생성합니다.","https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html
"
135,파이썬에서 로지스틱 회귀 모델을 만드는 방법을 알고 싶어요.,scikit-learn의 LogisticRegression 클래스를 사용하여 파이썬에서 로지스틱 회귀 모델을 구현할 수 있습니다.,"""from sklearn.linear_model import LogisticRegression""과 같은 임포트 구문을 추가하고 객체를 생성합니다.","https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html
"
136,피처를 표준화하는 방법은 뭘까요?,scikit-learn의 StandardScaler 클래스를 사용하면 데이터의 피처를 표준화할 수 있습니다.,"""from sklearn.preprocessing import StandardScaler""와 같은 임포트 구문을 추가하고 객체를 생성합니다.","https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.StandardScaler.html
"
137,파이썬에서 교차 검증을 수행하는 방법 알려주세요.,scikit-learn의 cross_val_score 함수를 사용하면 교차 검증을 간편하게 적용할 수 있습니다.,"""from sklearn.model_selection import cross_val_score""와 같은 임포트 구문을 추가하고 함수를 호출합니다.","https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.cross_val_score.html
"
138,모델의 성능을 평가하는 측정 지표는 뭔가요?,"MSE, MAE, RMSE, R2 등 다양한 측정 지표가 있습니다.","""from sklearn.metrics import mean_squared_error""와 같은 임포트 구문을 추가하여 측정 지표를 계산합니다.","https://scikit-learn.org/stable/modules/classes.html#sklearn-metrics-metrics
"
139,파이썬에서 모델을 학습시키는 방법을 알고 싶어요.,scikit-learn 모델의 fit() 메서드를 사용하면 학습 데이터를 기반으로 모델을 학습시킬 수 있습니다.,"""model.fit(X, y)""와 같은 코드를 사용하여 학습을 수행합니다.","https://scikit-learn.org/stable/modules/classes.html#sklearn-base-baseestimator
"
140,규제 방법이 뭔지 설명해 주세요.,"L1, L2 정규화와 같은 규제 방법은 모델의 복잡성을 제어하고 과적합을 방지하는 데 도움이 됩니다.","""from sklearn.linear_model import Lasso"" 또는 ""from sklearn.linear_model import Ridge""와 같은 임포트 구문을 추가하여 규제 모델을 사용합니다.","https://scikit-learn.org/stable/modules/classes.html#sklearn-linear-model-coordinate-descent
"
141,피처 선택에 사용할 수 있는 방법은 뭘까요?,"상관관계 분석, 정보 이득, 리커시브 피처 선택과 같은 피처 선택 방법을 사용하여 중요한 피처를 식별할 수 있습니다.","""from sklearn.feature_selection import SelectKBest""와 같은 임포트 구문을 추가하여 피처 선택기를 사용합니다.","https://scikit-learn.org/stable/modules/classes.html#sklearn-feature-selection
"
142,차원 축소 기법의 종류를 말씀해 주세요.,"주성분 분석(PCA), 선형 판별 분석(LDA), t-분산 임베딩(t-SNE)과 같은 차원 축소 기법을 사용하여 데이터의 차원을 줄일 수 있습니다.","""from sklearn.decomposition import PCA""와 같은 임포트 구문을 추가하여 차원 축소기를 사용합니다.","https://scikit-learn.org/stable/modules/classes.html#sklearn-decomposition
"
143,회귀분석이 뭐에요?,회귀분석은 주어진 데이터에 맞는 방정식을 찾아 종속 변수와 독립 변수의 관계를 알아내는 통계적 기법입니다.,없음,"https://scikit-learn.org/stable/modules/classes.html#module-sklearn.linear_model
"
144,회귀분석은 어떻게 쓰나요?,종속 변수를 예측하기 위해 독립 변수의 관계를 모델링하는 데 사용됩니다.,없음,"https://www.statsmodels.org/stable/regression.html
"
145,회귀분석의 종류가 뭐가 있어요?,"선형 회귀, 로지스틱 회귀, 릿지 회귀, 라쏘 회귀 등 다양한 종류가 있습니다.",없음,"https://scikit-learn.org/stable/auto_examples/linear_model/plot_ols.html
"
146,선형 회귀란?,종속 변수와 독립 변수의 관계가 선형인 회귀분석입니다.,없음,"https://www.datacamp.com/courses/linear-regression-in-python
"
147,로지스틱 회귀란?,종속 변수가 이분류인 회귀분석입니다.,없음,"https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html
"
148,릿지 회귀란?,과적합을 방지하기 위해 L2 정규화를 적용한 회귀분석입니다.,없음,"https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Ridge.html
"
149,라쏘 회귀란?,과적합을 방지하기 위해 L1 정규화를 적용한 회귀분석입니다.,없음,"https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Lasso.html
"
150,회귀분석을 평가하는 방법은 뭐가 있어요?,"평균 제곱근 오차, 결정 계수, 조정된 결정 계수 등을 사용합니다.",없음,"https://scikit-learn.org/stable/modules/model_evaluation.html
"
151,회귀분석에서 과적합과 과소적합이란?,"과적합은 너무 복잡한 모델로 인해 훈련 데이터에만 잘 맞고 새로운 데이터에는 poorly predict되는 것을 말하며, 과소적합은 너무 단순한 모델로 인해 훈련 데이터와 새로운 데이터 모두에 poorly predict되는 것을 말합니다.",없음,"https://scikit-learn.org/stable/modules/cross_validation.html
"
152,머신러닝에서 데이터를 나누는 방법은 무엇인가요?,"머신러닝에서 데이터는 일반적으로 훈련 세트, 검증 세트, 테스트 세트로 나눕니다.","
```python
from sklearn.model_selection import train_test_split

# 데이터를 80% 훈련 세트, 20% 테스트 세트로 나눕니다.
X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)
```","https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.train_test_split.html
"
153,그래디언트 하강법이란?,"그래디언트 하강법은 반복적 최적화 알고리즘으로, 함수의 기울기를 따라 함수의 최소값을 찾는 데 사용됩니다.","
```python
import numpy as np

def gradient_descent(f, grad_f, x0, step_size, num_steps):
    x = x0
    for _ in range(num_steps):
        x -= step_size * grad_f(x)
    return x
```","https://en.wikipedia.org/wiki/Gradient_descent
"
154,회귀 모델을 평가하는 데 사용되는 지표는 무엇이 있나요?,"회귀 모델을 평가하는 데 사용되는 일반적인 지표는 평균 절대 오차(MAE), 평균 제곱 오차(MSE), 결정 계수(R2)입니다.","
```python
from sklearn.metrics import mean_absolute_error, mean_squared_error, r2_score

# 예측값과 실제값을 기반으로 평균 절대 오차를 계산합니다.
mae = mean_absolute_error(y_pred, y_true)
```","https://scikit-learn.org/stable/modules/model_evaluation.html
"
155,로지스틱 회귀 분석에서 시그모이드 함수의 역할은 무엇인가요?,시그모이드 함수는 로지스틱 회귀 분석에서 입력값을 0과 1 사이의 출력값으로 변환하는 활성화 함수 역할을 합니다.,"
```python
import numpy as np

# 시그모이드 함수를 사용하여 행렬 X의 각 요소에 활성화를 적용합니다.
X_activated = np.sigmoid(X)
```","https://en.wikipedia.org/wiki/Logistic_regression
"
156,학습률의 역할은 무엇인가요?,학습률은 그래디언트 하강법에서 반복마다 업데이트되는 모델 가중치의 크기를 제어하는 하이퍼파라미터입니다.,"
```python
# 그래디언트 하강법에 사용할 학습률을 설정합니다.
learning_rate = 0.001
```","https://en.wikipedia.org/wiki/Learning_rate
"
157,과적합과 과소적합의 차이점은 무엇인가요?,"과적합은 모델이 훈련 데이터에 너무 많이 맞춰져 새로운 데이터에 대한 예측 성능이 떨어지는 상태를 말하는 반면, 과소적합은 모델이 데이터를 충분히 배우지 못한 상태를 말합니다.","
```python
# 과적합을 방지하기 위해 정규화 항을 사용합니다.
model.fit(X, y, regularization=0.1)
```","https://en.wikipedia.org/wiki/Overfitting_and_underfitting
"
158,결정 트리 모델의 분기 규칙은 무엇입니까?,"결정 트리 모델은 정보 이득, 지니 불순도, 엔트로피와 같은 불순도 측정값을 기반으로 특성을 선택하고 분기를 생성합니다.","
```python
from sklearn.tree import DecisionTreeClassifier

# 정보 이득을 기반으로 결정 트리 모델을 만듭니다.
model = DecisionTreeClassifier(criterion='entropy')
```","https://scikit-learn.org/stable/modules/tree.html
"
159,주성분 분석(PCA)에서 주성분의 의미는 무엇인가요?,주성분은 데이터의 분산이 가장 큰 방향을 나타내는 고유 벡터입니다.,"
```python
from sklearn.decomposition import PCA

# 데이터에서 주성분을 추출합니다.
pca = PCA(n_components=2)
pca.fit(X)
```","https://scikit-learn.org/stable/modules/decomposition.html
"
160,파이썬 코드 구현에 사용할 수 있는 다른 프레임워크는 무엇인가요?,"널리 사용되는 다른 프레임워크로는 Flask, Django, CherryPy가 있습니다.",미제공,"미제공
"
161,회귀 분야에 종종 사용되는 손실 함수를 알려주실 수 있나요?,"회귀 모델에서 일반적으로 사용되는 손실 함수에는 평균 절대 오차(MAE), 평균 제곱 오차(MSE), 루트 평균 제곱 오차(RMSE)가 있습니다.",미제공,"미제공
"
162,회귀 문제를 풀 때 고려해야 할 자주 사용되는 평가 지표는 무엇입니까?,"회귀 모델의 성능을 평가하기 위한 일반적인 지표로는 R2 스코어, RMSE 및 MAE가 있습니다.",미제공,"미제공
"
163,회귀 모델을 훈련할 때 사용할 수 있는 일반적인 학습 알고리즘은 무엇인가요?,"회귀 모델 훈련에 널리 사용되는 알고리즘에는 선형 회귀, 로지스틱 회귀, 결정 트리 회귀가 포함됩니다.",미제공,"미제공
"
164,파이썬을 사용하여 회귀 모델을 구현할 때 사용할 수 있는 패키지가 있나요?,"파이썬에서 회귀 분석에 사용할 수 있는 일반적인 패키지에는 scikit-learn, statsmodels, patsy가 있습니다.",미제공,"미제공
"
165,회귀 분석에 사용할 수 있는 특징 엔지니어링 기술은 무엇인가요?,"회귀 모델의 성능을 향상시키기 위한 특징 엔지니어링 기술로는 표준화, 정규화, 원-핫 인코딩이 있습니다.",미제공,"미제공
"
